ID,Task Name,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
,Dates,25-Feb,4-Mar,11-Mar,18-Mar,25-Mar,1-Apr,8-Apr,15-Apr,22-Apr,29-Apr,6-May
0,Design Doc,C&Y,,,,,,,,,,
1,Env Setup & Scaffolding,C&Y,,,,,,,,,,
2,Skeleton Rig & Maneuvering Fns,,Y,Y,,,,,,,,
3,Aerodynamic Force Model,,C,C,,,,,,,,
4,Curl-Noise Vortex Force,,,C,,,,,,,,
5,Maneuver Control & Decoupling,,,Y,Y,,,,,,,
6,MEL/Python UI Panel,,,,C,,,,,,,
7,Alpha Demo Integration,,,,C&Y,*1,,,,,,
8,Swarm Simulation,,,,,Y,Y,,,,,
9,Export & Beta Integration,,,,,C,C,C,*2,,,
10,Testing & Final Demo,,,,,,,,C&Y,C&Y,C&Y,*3
,,,,,,,,,,,,
,*1 = Alpha version release (Mar 25),,,,,,,,,,,
,*2 = Beta version release (Apr 15),,,,,,,,,,,
,*3 = Final Demo (May 5) / Code Due (May 11),,,,,,,,,,,
,C = Cecilia Chen | Y = Yiding Tian | C&Y = Both,,,,,,,,,,,
